"DateTime","2020-08-13 00:01:41",
"BoardName","PNL1235F-SAY-",
"BarCode","",
"TestStat","Pass",
"OpenTest","Pass",
"ShortTest","Pass",
"OpenTest","Pass",
"ShortTest","Pass",
"CompTest:",
"STEP","BX","LC","Flag","Device Name","STDval","ACTval","+%","-%","MD","RG","TM","A","B","G-1","G-2","G-3","G-4","G-5","TestVal","Dev%","Result",
"86","B1","A1","","R114","1JP","240","10","10","JP"," 0","0","64","50","0","0","0","0","0","1.000","  0%","Pass",
"87","B1","A1","","R115","1JP","240","10","10","JP"," 0","0","67","49","0","0","0","0","0","1.000","  0%","Pass",
"88","B1","A1","","R116","1JP","240","10","10","JP"," 0","0","191","33","0","0","0","0","0","1.000","  0%","Pass",
"89","B1","A1","","R117","1JP","240","10","10","JP"," 0","0","192","32","0","0","0","0","0","1.000","  0%","Pass",
"90","B1","A1","","R118","1JP","240","10","10","JP"," 0","0","193","30","0","0","0","0","0","1.000","  0%","Pass",
"91","B1","A1","","R119","1JP","240","10","10","JP"," 0","0","194","31","0","0","0","0","0","1.000","  0%","Pass",
"92","B1","A1","","R120","1JP","240","10","10","JP"," 0","0","195","29","0","0","0","0","0","1.000","  0%","Pass",
"93","B1","A1","","R121","1JP","240","10","10","JP"," 0","0","196","28","0","0","0","0","0","1.000","  0%","Pass",
"94","B1","A1","","R122","1JP","240","10","10","JP"," 0","0","65","48","0","0","0","0","0","1.000","  0%","Pass",
"95","B1","A1","","R123","1JP","240","10","10","JP"," 0","0","66","47","0","0","0","0","0","1.000","  0%","Pass",
"96","B1","A1","","R124","1JP","68","10","10","JP"," 0","0","68","42","0","0","0","0","0","1.000","  0%","Pass",
"97","B1","A1","","R125","","10KO","10","10","CV"," 0","0","306","9","0","0","0","0","0","9.863"," -1%","Pass",
"98","B1","A1","","R126","","10KO","10","10","CV"," 0","0","9","296","0","0","0","0","0","9.983","  0%","Pass",
"99","B1","A1","","R127","","10KO","10","10","CV"," 0","0","9","295","0","0","0","0","0","10.12","  1%","Pass",
"100","B1","A1","","R128","","22KO","10","10","CV"," 0","0","344","9","357","0","0","0","0","21.47"," -2%","Pass",
"101","B1","A1","","R153","","1JP","10","10","JP"," 0","0","308","27","0","0","0","0","0","1","  0%","Pass",
"102","B1","A1","","R154","","220","10","10","CC"," 0","0","21","173","0","0","0","0","0","222.1","  1%","Pass",
"103","B1","A1","","R155","","120","10","10","CC"," 0","0","225","82","0","0","0","0","0","121.5","  1%","Pass",
"104","B1","A1","","R156","","1JP","10","10","JP"," 0","0","210","23","0","0","0","0","0","1","  0%","Pass",
"105","B1","A1","","R157","","1JP","10","10","JP"," 0","0","209","22","0","0","0","0","0","1","  0%","Pass",
"106","B1","A1","","R158","","1JP","10","10","JP"," 0","0","216","214","0","0","0","0","0","1","  0%","Pass",
"107","B1","A1","","R159","","1JP","10","10","JP"," 0","0","215","211","0","0","0","0","0","1","  0%","Pass",
"108","B1","A1","","R161","","1JP","10","10","JP"," 0","0","313","324","0","0","0","0","0","1","  0%","Pass",
"109","B1","A1","","R162","","1JP","10","10","JP"," 0","0","312","326","0","0","0","0","0","1","  0%","Pass",
"110","B1","A1","","R163","","1JP","10","10","JP"," 0","0","317","316","0","0","0","0","0","1","  0%","Pass",
"111","B1","A1","","R164","","120","10","10","CC"," 0","0","80","202","0","0","0","0","0","120.8","  1%","Pass",
"112","B1","A1","","R165","","120","10","10","CC"," 0","0","79","203","0","0","0","0","0","121.3","  1%","Pass",
"113","B1","A1","","R166","","120","10","10","CC"," 0","0","78","204","0","0","0","0","0","120.5","  0%","Pass",
"114","B1","A1","","R167","","1JP","10","10","JP"," 0","0","315","311","0","0","0","0","0","1","  0%","Pass",
"115","B1","A1","","R170/SP/NC","","0","10","10","CC"," 0","0","177","177","0","0","0","0","0","","","Skip",
"116","B1","A1","","R173","","100KO","10","10","CV","+2","11","9","181","1","0","0","0","0","104.2","  4%","Pass",
"117","B1","A1","","R174","","22KO","10","10","CV"," 0","11","1","181","9","0","0","0","0","22.47","  2%","Pass",
"118","B1","A1","","R180","","1JP","10","10","JP"," 0","0","186","184","0","0","0","0","0","1","  0%","Pass",
"119","B1","A1","","R181/NC","","0","10","10","CC"," 0","0","185","184","0","0","0","0","0","","","Skip",
"120","B1","A1","","R192","","4.7KO","10","10","CC"," 0","0","358","9","1","0","0","0","0","4.744","  1%","Pass",
"121","B1","A1","","R200/NC","","0","10","10","CC"," 0","0","53","9","0","0","0","0","0","","","Skip",
"122","B1","A1","","R201/NC","","0","10","10","CC"," 0","0","9","13","0","0","0","0","0","","","Skip",
"123","B1","A1","","R202","","10KO","10","10","CV"," 0","0","10","9","0","0","0","0","0","9.995","  0%","Pass",
"124","B1","A1","","R210","","1JP","10","10","JP"," 0","0","125","307","0","0","0","0","0","1","  0%","Pass",
"125","B1","A1","","R211/R680","0.91KO","10KO","10","10","CC"," 0","0","9","307","1","0","0","0","0","0.979","  8%","Pass",
"126","B1","A1","","R213","","1JP","10","10","JP"," 0","0","150","341","0","0","0","0","0","1","  0%","Pass",
"127","B1","A1","","R301","","1JP","10","10","JP"," 0","0","151","152","0","0","0","0","0","1","  0%","Pass",
"128","B1","A1","","R302/NC","","0","10","10","CC"," 0","0","2","151","0","0","0","0","0","","","Skip",
"129","B1","A1","","R303","","1JP","10","10","JP"," 0","0","2","1","0","0","0","0","0","1","  0%","Pass",
"130","B1","A1","","R403","","120","10","10","CV"," 0","0","7","219","0","0","0","0","0","120.9","  1%","Pass",
"131","B1","A1","","R404/NC","","0","10","10","CC"," 0","0","219","9","0","0","0","0","0","","","Skip",
"132","B1","A1","","R501","","2.2KO","10","10","CC"," 0","0","229","197","0","0","0","0","0","2.164"," -2%","Pass",
"133","B1","A1","","R502","","220","10","10","CC"," 0","0","356","349","0","0","0","0","0","221.8","  1%","Pass",
"134","B1","A1","","R503","","5.6KO","10","10","CC"," 0","0","224","233","0","0","0","0","0","5.518"," -1%","Pass",
"135","B1","A1","","R504","","1KO","10","10","CC"," 0","0","1","90","0","0","0","0","0","0.936"," -6%","Pass",
"136","B1","A1","","R505","","120","10","10","CC"," 0","0","322","321","0","0","0","0","0","121.0","  1%","Pass",
"137","B1","A1","","R572/NC","","0","10","10","CC"," 0","0","288","287","0","0","0","0","0","","","Skip",
"138","B1","A1","","R590","","47","10","10","CC"," 0","0","239","240","0","0","0","0","0","47.85","  2%","Pass",
"139","B1","A1","","R601","","1JP","10","10","JP"," 0","0","165","286","0","0","0","0","0","1","  0%","Pass",
"140","B1","A1","","R602/NC","","0","10","10","CC"," 0","0","1","286","0","0","0","0","0","","","Skip",
"141","B1","A1","","R603","","10KO","10","10","CV"," 0","5","111","1","112","0","0","0","0","10.11","  1%","Pass",
"142","B1","A1","","R604","","33","10","10","CC"," 0","0","112","111","0","0","0","0","0","33.69","  2%","Pass",
"143","B1","A1","","R605","","10KO","10","10","CV"," 0","0","9","283","0","0","0","0","0","10.11","  1%","Pass",
"144","B1","A1","","R606","","1KO","10","10","CC"," 0","0","285","9","0","0","0","0","0","0.999","  0%","Pass",
"145","B1","A1","","R607","","1KO","10","10","CC"," 0","0","291","9","0","0","0","0","0","0.999","  0%","Pass",
"146","B1","A1","","R608","","33KO","10","10","CV"," 0","0","276","230","0","0","0","0","0","33.50","  2%","Pass",
"147","B1","A1","","R609/NC","","0","10","10","CC"," 0","0","276","197","0","0","0","0","0","","","Skip",
"148","B1","A1","","R610","","3.3KO","10","10","CC"," 0","0","141","9","1","0","0","0","0","3.294","  0%","Pass",
"149","B1","A1","","R611","","10KO","10","10","CV"," 0","0","1","176","342","0","0","0","0","9.898"," -1%","Pass",
"150","B1","A1","","R612","","10KO","10","10","CV"," 0","8","9","180","1","0","0","0","0","10.26","  3%","Pass",
"151","B1","A1","","R613","","10KO","10","10","CV"," 0","0","349","239","0","0","0","0","0","10.02","  0%","Pass",
"152","B1","A1","","R614/NC","","0","10","10","CC"," 0","0","349","9","0","0","0","0","0","","","Skip",
"153","B1","A1","","R615","","33KO","10","10","CV"," 0","0","221","223","0","0","0","0","0","33.21","  1%","Pass",
"154","B1","A1","","R616/NC","","0","10","10","CC"," 0","0","221","233","0","0","0","0","0","","","Skip",
"155","B1","A1","","R617","","10KO","10","10","CV"," 0","8","9","227","1","0","0","0","0","9.910"," -1%","Pass",
"156","B1","A1","","R618","","1KO","10","10","CC"," 0","0","71","349","0","0","0","0","0","0.999","  0%","Pass",
"157","B1","A1","","R619","","1KO","10","10","CC"," 0","0","349","350","0","0","0","0","0","1.000","  0%","Pass",
"158","B1","A1","","R620/NC","","0","10","10","CC"," 0","0","349","236","0","0","0","0","0","","","Skip",
"159","B1","A1","","R621","","1KO","10","10","CC"," 0","0","349","235","0","0","0","0","0","0.998","  0%","Pass",
"160","B1","A1","","R622/NC","","0","10","10","CC"," 0","0","71","1","0","0","0","0","0","","","Skip",
"161","B1","A1","","R623/NC","","0","10","10","CC"," 0","0","1","350","0","0","0","0","0","","","Skip",
"162","B1","A1","","R624/NC","","0","10","10","CC"," 0","0","1","235","0","0","0","0","0","","","Skip",
"163","B1","A1","","R625","","1KO","10","10","CC"," 0","0","236","1","0","0","0","0","0","0.999","  0%","Pass",
"164","B1","A1","","R626/NC","","0","10","10","CC"," 0","0","188","143","0","0","0","0","0","","","Skip",
"165","B1","A1","","R627/NC","","0","10","10","CC"," 0","0","189","142","0","0","0","0","0","","","Skip",
"166","B1","A1","","R632","","10KO","10","10","CC"," 0","0","265","9","0","0","0","0","0","10.07","  1%","Pass",
"167","B1","A1","","R644","","820KO","10","10","CV"," 0","8","276","278","109","277","0","0","0","822.0","  0%","Pass",
"168","B1","A1","","R645","","510KO","10","10","CV"," 0","25","1","109","276","278","9","0","0","497.8"," -2%","Pass",
"169","B1","A1","","R646","","33KO","10","10","CC"," 0","0","104","7","1","0","0","0","0","32.80"," -1%","Pass",
"170","B1","A1","","R647/NC","","0","10","10","CC"," 0","0","7","107","0","0","0","0","0","","","Skip",
"171","B1","A1","","R648","","820KO","10","10","CV"," 0","25","276","109","1","0","0","0","0","827.0","  1%","Pass",
"172","B1","A1","","R649","","750KO","10","10","A1"," 0","15","83","110","1","0","0","0","0","760.8","  1%","Pass",
"173","B1","A1","","R650","","62KO","10","10","CC"," 0","8","110","1","83","0","0","0","0","61.98","  0%","Pass",
"174","B1","A1","","R651","","100KO","10","10","CC"," 0","5","278","277","276","0","0","0","0","99.80","  0%","Pass",
"175","B1","A1","","R652","","750KO","10","10","CC"," 0","0","87","90","86","0","0","0","0","740.2"," -1%","Pass",
"176","B1","A1","","R653","","130KO","10","10","CV"," 0","0","86","87","90","0","0","0","0","130.5","  0%","Pass",
"177","B1","A1","","R654","","1JP","10","10","JP"," 0","0","264","281","0","0","0","0","0","1","  0%","Pass",
"178","B1","A1","","R656","","1.5KO","10","10","CC"," 0","0","1","277","0","0","0","0","0","1.500","  0%","Pass",
"179","B1","A1","","R659","","10KO","10","10","CC"," 0","0","1","142","0","0","0","0","0","9.933"," -1%","Pass",
"180","B1","A1","","R660","","10KO","10","10","CC"," 0","0","1","143","0","0","0","0","0","9.984","  0%","Pass",
"181","B1","A1","","R661","","33KO","10","10","CC"," 0","0","230","231","276","0","0","0","0","33.05","  0%","Pass",
"182","B1","A1","","R662","","33KO","10","10","CC"," 0","0","232","223","221","0","0","0","0","33.17","  1%","Pass",
"183","B1","A1","","R663","","470KO","10","10","CV"," 0","11","9","228","304","0","0","0","0","438.2"," -7%","Pass",
"184","B1","A1","","R664","","47KO","10","10","CV"," 0","0","200","9","0","0","0","0","0","47.34","  1%","Pass",
"185","B1","A1","","R665","","47KO","10","10","CV"," 0","0","198","9","0","0","0","0","0","43.40"," -8%","Pass",
"186","B1","A1","","R670/R","","1JP","10","10","JP"," 0","0","1","165","0","0","0","0","0","1","  0%","Pass",
"187","B1","A1","","R671/R","","1JP","10","10","JP"," 0","0","165","1","0","0","0","0","0","1","  0%","Pass",
"188","B1","A1","","R672/R","","1JP","10","10","JP"," 0","0","165","1","0","0","0","0","0","1","  0%","Pass",
"189","B1","A1","","R673/NC","","0","10","10","CC"," 0","0","282","276","0","0","0","0","0","","","Skip",
"190","B1","A1","","R680/R211","0.91KO","1KO","10","10","CV"," 0","0","125","9","1","0","0","0","0","0.940","  3%","Pass",
"191","B1","A1","","R681","","10KO","10","10","CV"," 0","0","1","294","0","0","0","0","0","9.946"," -1%","Pass",
"192","B1","A1","","R682","","1KO","10","10","CC"," 0","0","115","9","0","0","0","0","0","1.002","  0%","Pass",
"193","B1","A1","","R683","","10KO","10","10","CV"," 0","0","125","1","9","0","0","0","0","9.541"," -5%","Pass",
"194","B1","A1","","R684","","33","10","10","CC"," 0","0","123","125","0","0","0","0","0","33.81","  2%","Pass",
"195","B1","A1","","R685","","1JP","10","10","JP"," 0","0","320","160","0","0","0","0","0","1","  0%","Pass",
"196","B1","A1","","R686","","1JP","10","10","JP"," 0","0","319","159","0","0","0","0","0","1","  0%","Pass",
"197","B1","A1","","R687","","1JP","10","10","JP"," 0","0","318","158","0","0","0","0","0","1","  0%","Pass",
"198","B1","A1","","R688/NP","","10KO","10","10","CC"," 0","0","149","0","0","0","0","0","0","","","Skip",
"199","B1","A1","","R690","","33","10","10","CC"," 0","0","292","294","0","0","0","0","0","33.74","  2%","Pass",
"200","B1","A1","","R701","","470KO","10","10","CV"," 0","0","266","268","270","0","0","0","0","452.2"," -4%","Pass",
"201","B1","A1","","R702","","470KO","10","10","CV"," 0","0","267","269","0","0","0","0","0","458.3"," -2%","Pass",
"202","B1","A1","","R703","","240KO","10","10","CV"," 0","0","266","270","268","0","0","0","0","229.8"," -4%","Pass",
"203","B1","A1","","R704","","750KO","15","15","CC"," 0","10","275","271","0","0","0","0","0","746.0"," -1%","Pass",
"204","B1","A1","","R705","","750KO","10","15","CV"," 0","0","266","273","268","0","0","0","0","727.2"," -3%","Pass",
"205","B1","A1","","R706","","240KO","10","10","CV"," 0","0","274","272","0","0","0","0","0","233.7"," -3%","Pass",
"206","B1","A1","","RP1","","1JP","10","10","JP"," 0","0","20","149","0","0","0","0","0","1","  0%","Pass",
"207","B1","A1","","RVR1/NC","","0","10","10","CC"," 0","0","1","162","0","0","0","0","0","","","Skip",
"208","B1","A1","","RVR2/NC","","0","10","10","CC"," 0","0","161","1","0","0","0","0","0","","","Skip",
"209","B1","A1","","C1/C","11.7UF","100NF","30","30","DC"," 0","0","164","1","0","0","0","0","0","11.83","  1%","Pass",
"210","B1","A1","","C2/C","11.7UF","100NF","30","30","DC"," 0","0","20","1","0","0","0","0","0","11.84","  1%","Pass",
"211","B1","A1","","C3/C","11.7UF","10UF","30","30","DC"," 0","0","20","1","0","0","0","0","0","11.79","  1%","Pass",
"212","B1","A1","","C4/C","20.5UF","100NF","30","30","DC"," 0","0","163","1","0","0","0","0","0","20.99","  2%","Pass",
"213","B1","A1","","C5/C","20.5UF","100NF","30","30","DC"," 0","0","7","1","0","0","0","0","0","20.27"," -1%","Pass",
"214","B1","A1","","C6/C","20.5UF","10UF","30","30","DC"," 0","0","7","1","0","0","0","0","0","20.19"," -2%","Pass",
"215","B1","A1","","C8","","100NF","30","30","A2"," 0","0","15","161","0","0","0","0","0","96.06"," -4%","Pass",
"216","B1","A1","","C9","","100NF","30","30","A2"," 0","0","14","162","0","0","0","0","0","98.72"," -1%","Pass",
"217","B1","A1","","C10/C","36UF","100NF","30","30","DC"," 0","0","310","1","0","0","0","0","0","36.51","  1%","Pass",
"218","B1","A1","","C11/C","36UF","100NF","30","30","DC"," 0","0","310","1","0","0","0","0","0","35.17"," -2%","Pass",
"219","B1","A1","","C12/C","36UF","100NF","30","30","DC"," 0","0","309","1","0","0","0","0","0","35.05"," -3%","Pass",
"220","B1","A1","","C13/C","36UF","100NF","30","30","DC"," 0","0","9","1","0","0","0","0","0","35.11"," -2%","Pass",
"221","B1","A1","","C14/C","36UF","100NF","30","30","DC"," 0","0","9","1","0","0","0","0","0","35.11"," -2%","Pass",
"222","B1","A1","","C15/C","36UF","100NF","30","30","DC"," 0","0","9","1","0","0","0","0","0","35.05"," -3%","Pass",
"223","B1","A1","","C16/C","36UF","100NF","30","30","DC"," 0","0","19","1","0","0","0","0","0","35.04"," -3%","Pass",
"224","B1","A1","","C18/C29","2.3UF","2.2UF","30","30","A1"," 0","0","1","177","0","0","0","0","0","2.126"," -8%","Pass",
"225","B1","A1","","C20/C","36UF","100NF","30","30","DC"," 0","0","9","1","0","0","0","0","0","34.98"," -3%","Pass",
"226","B1","A1","","C21/C","36UF","100NF","30","30","DC"," 0","0","175","1","0","0","0","0","0","35.11"," -2%","Pass",
"227","B1","A1","","C22/C","36UF","100NF","30","30","DC"," 0","0","175","1","0","0","0","0","0","34.98"," -3%","Pass",
"228","B1","A1","","C23/C","36UF","100NF","30","30","DC"," 0","0","175","1","0","0","0","0","0","34.98"," -3%","Pass",
"229","B1","A1","","C24/C","36UF","100NF","30","30","DC"," 0","0","175","1","0","0","0","0","0","35.05"," -3%","Pass",
"230","B1","A1","","C25/C","36UF","100NF","30","30","DC"," 0","0","175","1","0","0","0","0","0","34.98"," -3%","Pass",
"231","B1","A1","","C26/C","36UF","100NF","30","30","DC"," 0","0","175","1","0","0","0","0","0","34.97"," -3%","Pass",
"232","B1","A1","","C27/C","36UF","100NF","30","30","DC"," 0","0","9","1","0","0","0","0","0","35.05"," -3%","Pass",
